666577	TEMP_CHAR_A	TEMP_MOV	A	how are you.
666578	TEMP_CHAR_B	TEMP_MOV	B	i am fine.
666579	TEMP_CHAR_A	TEMP_MOV	A	how old are you.
666580	TEMP_CHAR_B	TEMP_MOV	B	i am twenty years old.
666581	TEMP_CHAR_A	TEMP_MOV	A	how are you.
666582	TEMP_CHAR_B	TEMP_MOV	B	i am happy.
666583	TEMP_CHAR_A	TEMP_MOV	A	what is your age.
666584	TEMP_CHAR_B	TEMP_MOV	B	twenty years.
666585	TEMP_CHAR_A	TEMP_MOV	A	who are you.
666586	TEMP_CHAR_B	TEMP_MOV	B	a bot.
666587	TEMP_CHAR_A	TEMP_MOV	A	what is your name.
666588	TEMP_CHAR_B	TEMP_MOV	B	i am just a bot.
666589	TEMP_CHAR_A	TEMP_MOV	A	are you happy today.
666590	TEMP_CHAR_B	TEMP_MOV	B	yes.
666591	TEMP_CHAR_A	TEMP_MOV	A	what is your hobby.
666592	TEMP_CHAR_B	TEMP_MOV	B	i would like to help others.
666593	TEMP_CHAR_A	TEMP_MOV	A	what are you.
666594	TEMP_CHAR_B	TEMP_MOV	B	i am a chat bot.
666595	TEMP_CHAR_A	TEMP_MOV	A	who made you.
666596	TEMP_CHAR_B	TEMP_MOV	B	i was made by a great human.
666597	TEMP_CHAR_A	TEMP_MOV	A	what is your purpose.
666598	TEMP_CHAR_B	TEMP_MOV	B	i was made to give information.
666599	TEMP_CHAR_A	TEMP_MOV	A	Good morning, how are you?
666600	TEMP_CHAR_B	TEMP_MOV	B	I am doing well, how about you?
666601	TEMP_CHAR_A	TEMP_MOV	A	I am doing well, how about you?
666602	TEMP_CHAR_B	TEMP_MOV	B	I'm also good.
666603	TEMP_CHAR_A	TEMP_MOV	A	I'm also good.
666604	TEMP_CHAR_B	TEMP_MOV	B	That's good to hear.
666605	TEMP_CHAR_A	TEMP_MOV	A	That's good to hear.
666606	TEMP_CHAR_B	TEMP_MOV	B	Yes it is.
666607	TEMP_CHAR_A	TEMP_MOV	A	Hello
666608	TEMP_CHAR_B	TEMP_MOV	B	Hi
666609	TEMP_CHAR_A	TEMP_MOV	A	Hi
666610	TEMP_CHAR_B	TEMP_MOV	B	How are you doing?
666611	TEMP_CHAR_A	TEMP_MOV	A	How are you doing?
666612	TEMP_CHAR_B	TEMP_MOV	B	I am doing well.
666613	TEMP_CHAR_A	TEMP_MOV	A	I am doing well.
666614	TEMP_CHAR_B	TEMP_MOV	B	That is good to hear
666615	TEMP_CHAR_A	TEMP_MOV	A	That is good to hear
666616	TEMP_CHAR_B	TEMP_MOV	B	Yes it is.
666617	TEMP_CHAR_A	TEMP_MOV	A	Yes it is.
666618	TEMP_CHAR_B	TEMP_MOV	B	Can I help you with anything?
666619	TEMP_CHAR_A	TEMP_MOV	A	Can I help you with anything?
666620	TEMP_CHAR_B	TEMP_MOV	B	Yes, I have a question.
666621	TEMP_CHAR_A	TEMP_MOV	A	Yes, I have a question.
666622	TEMP_CHAR_B	TEMP_MOV	B	What is your question?
666623	TEMP_CHAR_A	TEMP_MOV	A	What is your question?
666624	TEMP_CHAR_B	TEMP_MOV	B	Could I borrow a cup of sugar?
